grid,velocity,T,density,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0.0,1.102935039103337,373.0,0.05440030271204938,0.1521938303215135,0.00039257003894731956,7.223768520002233e-06,0.10544694039703234,0.00012197738219583089,0.0008533787253850943,2.016564011756652e-05,2.2633058985491437e-06,0.7409616504203881,1.6293653217354194e-15
1.220703125e-05,1.1037887040411207,373.2982394281545,0.054358229788186746,0.15216148883900632,0.0003938834921759895,7.315713651238304e-06,0.10544154103343159,0.00012356205140752957,0.0008682355185732187,2.057816860233684e-05,2.3099670983712814e-06,0.7409810852160534,0.0
2.44140625e-05,1.104646359300077,373.5978645793138,0.054316025685932814,0.15212900117205486,0.0003952403664143808,7.4072948544076655e-06,0.1054361369488331,0.00012513171127301033,0.0008832107527836068,2.0952807556846086e-05,2.3567269057211023e-06,0.7410005622193161,8.006597073849372e-15
3.6621093750000005e-05,1.10550797497237,373.8988658322643,0.05427369263449021,0.15209636706869692,0.00039664094219915146,7.498484100284411e-06,0.10543072649234116,0.0001266852572903738,0.0008983038692089676,2.1292532343657747e-05,2.4035690222874404e-06,0.7410200817847974,0.0
4.8828125e-05,1.106373524803545,374.20123474966533,0.05423123267832036,0.1520635862856535,0.0003980854688552591,7.5892568947055065e-06,0.10542530808547619,0.0001282217488617637,0.0009135143443084264,2.1600096155751245e-05,2.4504776886255635e-06,0.7410396442360939,1.1870048308691605e-14
6.103515625e-05,1.107242985790732,374.5049639897289,0.05418864769161349,0.15203065858721446,0.0003995741673984177,7.679591818012293e-06,0.10541988021814436,0.00012974039397371434,0.00092884168895777,2.1878045864840012e-05,2.497437507877323e-06,0.7410592498691204,0.0
7.324218750000001e-05,1.1081163380606256,374.8100472239988,0.05414593939164664,0.1519975837444152,0.00040110723356383325,7.76947046249115e-06,0.10541444144480473,0.00013124053547588257,0.0009442854479302192,2.2128737108527135e-05,2.544433640393418e-06,0.7410788989525987,0.0
8.544921875000001e-05,1.1089935645708064,375.11647906078974,0.054103109351283575,0.15196436153408938,0.0004026848402476831,7.858877032887586e-06,0.10540899038088464,0.00013272163813321907,0.0009598451989947376,2.23543479682377e-05,2.5914516396121788e-06,0.7410985917309995,1.0224170621338749e-14
9.765625e-05,1.1098746508653903,375.4242549738987,0.054060159010547434,0.15193099173812638,0.00040430713992159635,7.947798150386761e-06,0.10540352569937793,0.000134183276907418,0.0009755205521695309,2.255689185045987e-05,2.6384774691738265e-06,0.7411183284260272,0.0
0.0001220703125,1.1116483606545355,376.04382589306624,0.053973902413331665,0.15186380893754528,0.0004076861747633585,8.1241509501102e-06,0.10539255170829388,0.0001370471979942228,0.001007216792786146,2.2898378800845207e-05,2.732511859121974e-06,0.7411579341469996,7.239806813756774e-15
0.00014648437500000002,1.1134372874303629,376.66870191450676,0.05388718416514433,0.15179603477833437,0.00041124510312114435,8.298466723142636e-06,0.10538150959350512,0.00013983096156695103,0.001039367585643507,2.3168933570788593e-05,2.826421384977588e-06,0.7411977181561499,0.0
0.00017089843750000002,1.1152413902442753,377.29887138729185,0.05380001201335485,0.15172766764992784,0.00041498460241066066,8.470709343336328e-06,0.10537039065260369,0.00014253420210480407,0.0010719707932483503,2.3379709174314353e-05,2.920110035626991e-06,0.7412376815711457,5.769276733897252e-15
0.0001953125,1.117060653274179,377.9343309567828,0.05371239247072619,0.15165870596991474,0.0004189051971239682,8.640865263305878e-06,0.10535918682698428,0.00014515746013798217,0.0011050247034049892,2.3540218863656577e-05,3.0134875785280273e-06,0.7412778252707082,2.032055900460683e-14
0.000244140625,1.1207446237733345,379.22111458557373,0.05353583591554569,0.15151899616307649,0.00042729049884827414,8.974934320297893e-06,0.10533650245575049,0.00015016789448754945,0.0011724790964840871,2.3734833439151684e-05,3.199054475602244e-06,0.7413586550691151,3.0042149425283693e-15
0.00029296875000000004,1.1244886775022365,380.52889085569717,0.05335758513426408,0.15137690224563094,0.0004364017284557019,9.301013787169751e-06,0.10531340587048878,0.00015488405386181888,0.0012416946692750239,2.381320762998597e-05,3.382468273120333e-06,0.7414402147425908,6.596205811072116e-15
0.00034179687500000003,1.1282932199834728,381.8578082728094,0.053177666356256814,0.15123241195854725,0.00044624067051782565,9.6195027916178e-06,0.10528985175727594,0.00015932750887745527,0.0013126687742384595,2.38108650841644e-05,3.5631969801647514e-06,0.7415225057656863,7.14155166081733e-16
0.000390625,1.1321587786631486,383.2080554983307,0.05299610054560956,0.15108551289849242,0.00045680913447762546,9.930907710459218e-06,0.10526580002956011,0.00016352207269629344,0.0013854029601277277,2.3753270455219615e-05,3.7407675890099606e-06,0.7416055279588829,8.162008169462374e-15
0.000439453125,1.136085955020287,384.5798455145563,0.052812905807861875,0.15093619248021722,0.0004681092927176721,1.0235800188435279e-05,0.10524121485613763,0.00016749206390549322,0.001459902334744349,2.3658544848654915e-05,3.914757803336364e-06,0.7416892798694278,9.43358775190259e-15
0.00048828125,1.1400753888221444,385.97340378910746,0.05262809914683002,0.15078443793728152,0.00048014389346923695,1.053478645085501e-05,0.10521606389451947,0.00017126115685344416,0.0015361749980006437,2.3539486429528844e-05,4.08478910830266e-06,0.7417737590578757,1.1269884243736396e-14
0.0005859375000000001,1.1482425156483993,388.8263627906566,0.05225377036190914,0.15047360499339282,0.0005064229733908287,1.1116898491410906e-05,0.10516398048182724,0.000178263999255118,0.001694057893700186,2.3255377656722982e-05,4.411959852182791e-06,0.7419448854224242,9.407779188238295e-15
